fecha,id_producto,nombre_producto,cantidad,precio_unit,total_venta
2023-08-03,107,Gelatina Kris Frambuesa ,1.0,5.5,5.5
2023-08-03,7772803000138,Matecito Surtido ,1.0,6.5,6.5
2023-08-03,3027,Paquete de Bolsas Plasticas ,1.0,13.0,13.0
2023-08-03,7776570150393,perlita super ,1.0,20.0,20.0
2023-08-03,7773101000974,Aceite Vegetal Sabrosa ,1.0,24.0,24.0
2023-08-03,argasgarg,ajo ,1.0,4.0,4.0
2023-08-03,7771430110029,Arroz Crano de Oro ,2.0,10.0,20.0
2023-08-03,7802000014109,avena quaker ,1.0,11.0,11.0
2023-08-03,54545454,bombril ,1.0,6.0,6.0
2023-08-03,70005269412,Cebada a Granel ,1.0,3.0,3.0
2023-08-03,847,Coca Cola no retornable 2 l ,3.0,10.0,30.0
2023-08-03,7771224001687,CREMA  DE LECHE Delizia de 500ml ,2.0,15.0,30.0
2023-08-03,7790080031867,Dulce de leche  sancor ,1.0,10.0,10.0
2023-08-03,7750243058643,Fideos Nutregal ,1.0,4.5,4.5
